Name,Team,Pos,Age,HR,BB/K,xwOBA,wRC+,Spd,WAR,DRS,FRM
"Rutschman, Adley",BAL,C,24,13,0.76,0.342,133,4.2,5.3,18,9.1
"Kirk, Alejandro",TOR,C,23,14,1.09,0.351,129,1.1,3.8,9,7.6
"Hedges, Austin",CLE,C,29,7,0.32,0.24,42,2.9,-0.6,8,4.4
"Nola, Austin",SDP,C,32,4,0.57,0.305,89,2.5,0.2,-6,-8.3
"Raleigh, Cal",SEA,C,25,27,0.31,0.324,121,2.5,4.2,14,8.2
"Kelly, Carson",ARI,C,27,7,0.41,0.288,73,3.4,0.4,-1,-0.7
"Bethancourt, Christian",- - -,C,30,11,0.15,0.318,101,4,1.9,4,2.4
"Vazquez, Christian",- - -,C,31,9,0.32,0.301,99,1.8,1.6,11,4.9
"Diaz, Elias",COL,C,31,9,0.3,0.274,67,2.1,-1.4,-15,-15
"Haase, Eric",DET,C,29,14,0.25,0.302,112,2.1,1.3,-9,-6.6
"Sanchez, Gary",MIN,C,29,16,0.29,0.321,89,2.3,1.3,1,1.9
"Realmuto, J.T.",PHI,C,31,22,0.34,0.351,128,6.9,6.5,11,1.1
"Stallings, Jacob",MIA,C,32,4,0.35,0.274,71,1,-0.6,-9,-4.3
"Heim, Jonah",TEX,C,27,16,0.47,0.291,99,3.2,2.8,8,9.1
"Trevino, Jose",NYY,C,29,11,0.24,0.281,91,3.3,3.7,21,19
"Ruiz, Keibert",WSN,C,23,7,0.6,0.328,90,3,1.7,-5,-4.3
"Maldonado, Martin",HOU,C,35,15,0.19,0.253,70,1.7,0.5,2,-0.8
"Stassi, Max",LAA,C,31,9,0.34,0.266,63,1.9,0,0,-0.5
"Melendez, MJ",KCR,C,23,18,0.5,0.332,99,3.1,-0.2,-18,-15.7
"Perez, Salvador",KCR,C,32,23,0.17,0.326,109,1.5,0.5,-4,-12.6
"Murphy, Sean",OAK,C,27,18,0.45,0.344,122,2.7,5.1,1,8.7
"Nido, Tomas",NYM,C,28,3,0.18,0.287,74,1.7,0.9,8,7.2
"d'Arnaud, Travis",ATL,C,33,18,0.21,0.313,120,2.5,3.9,6,8.9
"Barnhart, Tucker",DET,C,31,1,0.34,0.244,63,0.6,-0.2,-8,-2.3
"Caratini, Victor",MIL,C,28,9,0.46,0.309,84,0.9,1.2,2,3.7
"Smith, Will",LAD,C,27,24,0.58,0.352,127,2.9,3.9,7,0.5
"Contreras, William",ATL,C,24,20,0.38,0.347,138,3.4,2.4,-4,-2.8
"Contreras, Willson",CHC,C,30,22,0.44,0.364,132,4.2,3.3,-1,-3.5
"Grandal, Yasmani",CHW,C,33,5,0.57,0.29,68,1,-0.4,-5,5.1
